scenario_feature,group,factor,ic_mean,ic_std,ic_ir,positive_ratio
Size,High,Quality,0.047319347319347324,0.28800550974306166,0.1642995755948787,0.5
Size,High,Con_Value,-0.004040404040404043,0.34222290541874956,-0.011806317374176865,0.43333333333333335
Size,High,Con_Change,0.010240334378265412,0.3139268046725692,0.03262002991084595,0.4827586206896552
Size,High,Momentum,0.033057851239669415,0.28552527681512113,0.11577866530678171,0.5
Size,High,Turnover,-0.003030303030303037,0.36298263442843737,-0.008348318609665761,0.4666666666666667
Size,Low,Quality,0.00046620046620047135,0.34241471685276176,0.0013615042863261353,0.5769230769230769
Size,Low,Con_Value,-0.04747474747474747,0.28304110661199855,-0.16773033540139343,0.5166666666666667
Size,Low,Con_Change,0.03281086729362591,0.3262176753652797,0.10057936522759255,0.5344827586206896
Size,Low,Momentum,-0.0008264462809917327,0.3376214434960583,-0.002447841655412287,0.36363636363636365
Size,Low,Turnover,-0.03777777777777778,0.31719217370186853,-0.1191002231759417,0.43333333333333335
Size,All,Quality,0.027588201272411794,0.18016461716215368,0.15312689350477846,0.5576923076923077
Size,All,Con_Value,-0.005939849624060152,0.2285237058898064,-0.025992155206729907,0.5
Size,All,Con_Change,0.03189007000259268,0.20994469162648774,0.15189675842135394,0.4827586206896552
Size,All,Momentum,0.029391660970608337,0.19771007278581856,0.1486596605666516,0.5454545454545454
Size,All,Turnover,-0.025614035087719297,0.25444212861023147,-0.10066703403476909,0.4166666666666667
Liquidity,High,Quality,0.03916083916083916,0.29306111698967396,0.1336264119125946,0.5576923076923077
Liquidity,High,Con_Value,-0.04747474747474746,0.34009240379707134,-0.1395932615707976,0.4
Liquidity,High,Con_Change,0.03636363636363636,0.27165836960994044,0.13385747164122758,0.46551724137931033
Liquidity,High,Momentum,0.02947658402203857,0.2801681397515733,0.105209960126856,0.5909090909090909
Liquidity,High,Turnover,-0.006868686868686862,0.3042143619342893,-0.022578369563633353,0.45
Liquidity,Low,Quality,0.05477855477855478,0.38517694151612286,0.14221623014790907,0.5576923076923077
Liquidity,Low,Con_Value,-0.041818181818181824,0.30669727877159564,-0.13634958104647424,0.45
Liquidity,Low,Con_Change,0.03699059561128525,0.3118228696625527,0.11862656842568041,0.5344827586206896
Liquidity,Low,Momentum,0.03085399449035813,0.39330206629937786,0.07844839548459664,0.5909090909090909
Liquidity,Low,Turnover,-0.011515151515151518,0.3396757579672899,-0.03390032212995981,0.4166666666666667
Liquidity,All,Quality,0.027588201272411794,0.18016461716215368,0.15312689350477846,0.5576923076923077
Liquidity,All,Con_Value,-0.005939849624060152,0.2285237058898064,-0.025992155206729907,0.5
Liquidity,All,Con_Change,0.03189007000259268,0.20994469162648774,0.15189675842135394,0.4827586206896552
Liquidity,All,Momentum,0.029391660970608337,0.19771007278581856,0.1486596605666516,0.5454545454545454
Liquidity,All,Turnover,-0.025614035087719297,0.25444212861023147,-0.10066703403476909,0.4166666666666667
Cheapness,High,Quality,0.016550116550116546,0.337675207067969,0.04901179355756405,0.5576923076923077
Cheapness,High,Con_Value,-0.05979797979797981,0.31842452487414896,-0.18779267089726465,0.5166666666666667
Cheapness,High,Con_Change,0.055172413793103454,0.3176640726335361,0.17368108283264527,0.5344827586206896
Cheapness,High,Momentum,0.06391184573002753,0.34628919988439033,0.18456152022599726,0.5454545454545454
Cheapness,High,Turnover,-0.018181818181818177,0.33812220463396486,-0.05377276073525004,0.45
Cheapness,Low,Quality,0.035431235431235435,0.2883063019814776,0.12289399258264963,0.5576923076923077
Cheapness,Low,Con_Value,-0.019393939393939394,0.3531915465745115,-0.054910386932097786,0.4666666666666667
Cheapness,Low,Con_Change,-0.004597701149425282,0.3204726230150418,-0.014346582118583544,0.46551724137931033
Cheapness,Low,Momentum,0.030027548209366386,0.29489272268068684,0.10182498269683565,0.5
Cheapness,Low,Turnover,-0.04080808080808082,0.3353673138631028,-0.12168138467827543,0.38333333333333336
Cheapness,All,Quality,0.027588201272411794,0.18016461716215368,0.15312689350477846,0.5576923076923077
Cheapness,All,Con_Value,-0.005939849624060152,0.2285237058898064,-0.025992155206729907,0.5
Cheapness,All,Con_Change,0.03189007000259268,0.20994469162648774,0.15189675842135394,0.4827586206896552
Cheapness,All,Momentum,0.029391660970608337,0.19771007278581856,0.1486596605666516,0.5454545454545454
Cheapness,All,Turnover,-0.025614035087719297,0.25444212861023147,-0.10066703403476909,0.4166666666666667
